category_code;category_name
9404;Formula, prepared from powder
9402;Formula, ready-to-feed
9002;Baby food: cereals
9004;Baby food: fruit
9006;Baby food: vegetables
9007;Baby food: mixtures
9008;Baby food: meat and dinners
9010;Baby food: yogurt
9012;Baby food: snacks and sweets
9202;Baby juice
9204;Baby water
1002;Milk, whole
1004;Milk, reduced fat
1006;Milk, lowfat
1008;Milk, nonfat
4802;Oatmeal
1820;Yogurt, regular
1822;Yogurt, Greek
14555;Water, bottled, generic
2502;Eggs and omelets
4002;Rice
4004;Pasta, noodles, cooked grains
6806;Mashed potatoes and white potato mixtures
6411;Other dark green vegetables
3104;Vegetable dishes
3744;Vegetable sandwiches/burgers
6420;Other vegetables and combinations
6418;Other starchy vegetables
6430;Fried vegetables
6406;Other red and orange vegetables
8408;Olives, pickles, pickled vegetables
6012;Citrus fruits
7204;Fruit drinks
7006;Other fruit juice
6018;Other fruits and fruit salads
5202;Crackers, excludes saltines
3808;Ramen and Asian broth-based soups
3804;Soups, broth-based
3806;Soups, cream-based
6407;Broccoli
6416;Corn
6409;Spinach
2802;Beans, peas, legumes
6412;String beans
6004;Bananas
6404;Carrots
6002;Apples
6020;Pears
6008;Peaches and nectarines
6024;Mango and papaya
6011;Blueberries and other berries
6014;Melons
6009;Strawberries
5804;Pudding
