Food code;Main food description;Additional food description;WWEIA Category number;WWEIA Category description
11000000;Milk, human;;9602;Human milk
11100000;Milk, NFS;;1004;Milk, reduced fat
11111000;Milk, whole;leche fresca;1002;Milk, whole
11112110;Milk, reduced fat (2%);;1004;Milk, reduced fat
11112210;Milk, low fat (1%);;1006;Milk, lowfat
11113000;Milk, fat free (skim);;1008;Milk, nonfat
11114300;Milk, lactose free, low fat (1%);;1006;Milk, lowfat
11114320;Milk, lactose free, fat free (skim);;1008;Milk, nonfat
11114330;Milk, lactose free, reduced fat (2%);lactose free milk, NS as to fat content;1004;Milk, reduced fat
11114350;Milk, lactose free, whole;;1002;Milk, whole
11115300;Buttermilk;;1002;Milk, whole
11115400;Kefir;"fermented milk drink; all types";1006;Milk, lowfat
11116000;Goat milk;;1002;Milk, whole
11120000;Milk, dry, reconstituted, nonfat;"NS as to fat content; 1% fat; 2% fat";1008;Milk, nonfat
11121100;Milk, dry, reconstituted, whole;Nido Fortificada;1002;Milk, whole
11210050;Milk, evaporated, NS as to fat content;;1002;Milk, whole
11211050;Milk, evaporated, whole;;1002;Milk, whole
11211400;Milk, evaporated, reduced fat (2%);;1004;Milk, reduced fat
11212050;Milk, evaporated, fat free (skim);;1008;Milk, nonfat
11220000;Milk, condensed, sweetened;La Lechera;1202;Flavored milk, whole
11300100;Non-dairy milk, NFS;;1902;Plant-based milk
11320000;Soy milk, sweetened;NS as to sweetened;1902;Plant-based milk
11320100;Soy milk, unsweetened;light;1902;Plant-based milk
11321000;Soy milk, chocolate;;1902;Plant-based milk
11350000;Almond milk, sweetened;cashew or other nut milk;1902;Plant-based milk
11350010;Almond milk, chocolate;cashew or other nut milk;1902;Plant-based milk
11350020;Almond milk, unsweetened;"cashew or other nut milk; light";1902;Plant-based milk
11350040;Almond milk, NFS;"cashew or other nut milk; NS as to sweetened";1902;Plant-based milk
11360000;Rice milk;;1902;Plant-based milk
11360200;Oat milk;;1902;Plant-based milk
11370000;Coconut milk;;1902;Plant-based milk
11400000;Yogurt, NFS;;1820;Yogurt, regular
11400010;Yogurt, Greek, NS as to type of milk or flavor;;1822;Yogurt, Greek
11410000;Yogurt, NS as to type of milk or flavor;;1820;Yogurt, regular
11411010;Yogurt, NS as to type of milk, plain;;1820;Yogurt, regular
11411100;Yogurt, whole milk, plain;;1820;Yogurt, regular
11411200;Yogurt, low fat milk, plain;"1% fat; 2% fat; 99% fat free";1820;Yogurt, regular
11411300;Yogurt, nonfat milk, plain;"0% fat; fat free; light";1820;Yogurt, regular
11411390;Yogurt, Greek, NS as to type of milk, plain;;1822;Yogurt, Greek
11411400;Yogurt, Greek, whole milk, plain;;1822;Yogurt, Greek
11411410;Yogurt, Greek, low fat milk, plain;"2% fat; 1% fat; 99% fat free";1822;Yogurt, Greek
11411420;Yogurt, Greek, nonfat milk, plain;"0% fat; fat free; light";1822;Yogurt, Greek
11430000;Yogurt, NS as to type of milk, fruit;;1820;Yogurt, regular
11431000;Yogurt, whole milk, fruit;;1820;Yogurt, regular
11432000;Yogurt, low fat milk, fruit;"1% fat; 2% fat; 99% fat free";1820;Yogurt, regular
11433000;Yogurt, nonfat milk, fruit;"0% fat; fat free; light";1820;Yogurt, regular
11433990;Yogurt, Greek, NS as to type of milk, fruit;;1822;Yogurt, Greek
11434000;Yogurt, Greek, whole milk, fruit;;1822;Yogurt, Greek
11434010;Yogurt, Greek, low fat milk, fruit;"2% fat; 1% fat; 99% fat free";1822;Yogurt, Greek
11434020;Yogurt, Greek, nonfat milk, fruit;"0% fat; fat free; light";1822;Yogurt, Greek
11434090;Yogurt, NS as to type of milk, flavors other than fruit;;1820;Yogurt, regular
11434100;Yogurt, whole milk, flavors other than fruit;;1820;Yogurt, regular
11434200;Yogurt, low fat milk, flavors other than fruit;"1% fat; 2% fat; 99% fat free";1820;Yogurt, regular
11434300;Yogurt, nonfat milk, flavors other than fruit;"0% fat; fat free; light";1820;Yogurt, regular
11435000;Yogurt, Greek, NS as to type of milk, flavors other than fruit;;1822;Yogurt, Greek
11435010;Yogurt, Greek, whole milk, flavors other than fruit;;1822;Yogurt, Greek
11435020;Yogurt, Greek, low fat milk, flavors other than fruit;"1% fat; 2% fat; 99% fat free; light";1822;Yogurt, Greek
11435030;Yogurt, Greek, nonfat milk, flavors other than fruit;"0% fat; fat free; light";1822;Yogurt, Greek
11435100;Yogurt, Greek, with oats;"all types; with granola";1822;Yogurt, Greek
11436000;Yogurt, liquid;all types;1820;Yogurt, regular
11436100;Yogurt tube;"pouch; Go-gurt; all types";1820;Yogurt, regular
11440010;Chipotle dip, yogurt based;"jalapeno dip; Southwest dip; greek yogurt based; regular or light";8412;Dips, gravies, other sauces
11440030;Onion dip, yogurt based;"French onion dip; toasted onion dip; green onion dip; greek yogurt based; regular or light";8412;Dips, gravies, other sauces
11440040;Ranch dip, yogurt based;"greek yogurt based; regular or light";8412;Dips, gravies, other sauces
11440050;Spinach dip, yogurt based;"greek yogurt based; regular or light";8412;Dips, gravies, other sauces
11440060;Tzatziki dip;Greek dip;8412;Dips, gravies, other sauces
11440070;Vegetable dip, yogurt based;"greek yogurt based; regular or light; dill";8412;Dips, gravies, other sauces
11446000;Yogurt parfait, with fruit;with granola;1820;Yogurt, regular
11459990;Frozen yogurt, NFS;;5802;Ice cream and frozen dairy desserts
11460000;Frozen yogurt, vanilla;"other flavors; swirl; in a cup; scoop";5802;Ice cream and frozen dairy desserts
11460100;Frozen yogurt, chocolate;"in a cup; scoop";5802;Ice cream and frozen dairy desserts
11460500;Frozen yogurt, soft serve, vanilla;"other flavors; swirl; NS as to flavor; in a cup";5802;Ice cream and frozen dairy desserts
11460510;Frozen yogurt, soft serve, chocolate;in a cup;5802;Ice cream and frozen dairy desserts
11461200;Frozen yogurt sandwich;"all flavors; prepackaged frozen yogurt cone";5802;Ice cream and frozen dairy desserts
11461210;Frozen yogurt bar, vanilla;"frozen yogurt bar, NFS; stick; other flavors; swirl; with or without coating";5802;Ice cream and frozen dairy desserts
11461220;Frozen yogurt bar, chocolate;"stick; with or without coating";5802;Ice cream and frozen dairy desserts
11461250;Frozen yogurt cone, chocolate;scooped or soft serve;5802;Ice cream and frozen dairy desserts
11461260;Frozen yogurt cone, vanilla;"other flavors; swirl; scooped or soft serve";5802;Ice cream and frozen dairy desserts
11461300;Frozen yogurt cone, vanilla, waffle cone;"other flavors; swirl; scooped or soft serve";5802;Ice cream and frozen dairy desserts
11461320;Frozen yogurt cone, chocolate, waffle cone;scooped or soft serve;5802;Ice cream and frozen dairy desserts
11480000;Baby Toddler food, NFS;;9007;Baby food: mixtures
11480010;Baby Toddler yogurt, plain;;9010;Baby food: yogurt
11480100;Baby Toddler yogurt, with fruit;other flavors;9010;Baby food: yogurt
11511000;Chocolate milk, NFS;;1206;Flavored milk, lowfat
11511100;Chocolate milk, whole;;1202;Flavored milk, whole
11511200;Chocolate milk, reduced fat (2%);;1204;Flavored milk, reduced fat
11511300;Chocolate milk, fat free (skim);;1208;Flavored milk, nonfat
11511400;Chocolate milk, low fat (1%);;1206;Flavored milk, lowfat
11511550;Chocolate milk, reduced sugar, NFS;sugar free;1206;Flavored milk, lowfat
11512005;Hot chocolate / cocoa, NFS;NS as to form, sweetener or milk;1206;Flavored milk, lowfat
11512010;Hot chocolate / cocoa, made with whole or reduced fat (2%) milk;NS as to milk;1204;Flavored milk, reduced fat
