Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy;Protein;Carbohydrate;Total Fat;Calcium;Iron
11100000;Milk, NFS;1004;Milk, reduced fat;52;3,33;4,83;2,14;125;0
11111000;Milk, whole;1002;Milk, whole;61;3,27;4,63;3,2;123;0
11112110;Milk, reduced fat (2%);1004;Milk, reduced fat;50;3,36;4,9;1,9;126;0
11112210;Milk, low fat (1%);1006;Milk, lowfat;43;3,38;5,18;0,95;126;0
11113000;Milk, fat free (skim);1008;Milk, nonfat;34;3,43;4,92;0,08;132;0
11114300;Milk, lactose free, low fat (1%);1006;Milk, lowfat;43;3,38;5,18;0,95;126;0
11114320;Milk, lactose free, fat free (skim);1008;Milk, nonfat;34;3,43;4,92;0,08;132;0
11114330;Milk, lactose free, reduced fat (2%);1004;Milk, reduced fat;50;3,36;4,9;1,9;126;0
11114350;Milk, lactose free, whole;1002;Milk, whole;61;3,27;4,63;3,2;123;0
11115300;Buttermilk;1002;Milk, whole;43;3,46;4,81;1,08;120;0,01
11115400;Kefir;1006;Milk, lowfat;52;3,59;7,48;0,96;124;0,04
11116000;Goat milk;1002;Milk, whole;69;3,56;4,45;4,14;134;0,05
11120000;Milk, dry, reconstituted, nonfat;1008;Milk, nonfat;32;3,2;4,6;0,07;114;0,03
11121100;Milk, dry, reconstituted, whole;1002;Milk, whole;76;4,01;5,86;4,08;142;0,07
11210050;Milk, evaporated, NS as to fat content;1002;Milk, whole;134;6,81;10,04;7,56;261;0,19
11211050;Milk, evaporated, whole;1002;Milk, whole;134;6,81;10,04;7,56;261;0,19
11211400;Milk, evaporated, reduced fat (2%);1004;Milk, reduced fat;92;7,42;11,15;1,96;285;0,28
11212050;Milk, evaporated, fat free (skim);1008;Milk, nonfat;78;7,55;11,35;0,2;290;0,29
11220000;Milk, condensed, sweetened;1202;Flavored milk, whole;321;7,91;54,4;8,7;284;0,19
11300100;Non-dairy milk, NFS;1902;Plant-based milk;31;1,14;3,04;1,6;153;0,32
11320000;Soy milk, sweetened;1902;Plant-based milk;53;3,41;5,22;2,05;97;0,52
11320100;Soy milk, unsweetened;1902;Plant-based milk;38;3,55;1,29;2,12;101;0,54
11321000;Soy milk, chocolate;1902;Plant-based milk;64;3,35;8,32;2,03;94;0,55
11350000;Almond milk, sweetened;1902;Plant-based milk;30;0,53;4,31;1,18;166;0,28
11350010;Almond milk, chocolate;1902;Plant-based milk;43;0,57;7,44;1,2;161;0,31
11350020;Almond milk, unsweetened;1902;Plant-based milk;15;0,55;0,34;1,22;173;0,29
11350040;Almond milk, NFS;1902;Plant-based milk;20;0,54;1,53;1,21;171;0,29
11360000;Rice milk;1902;Plant-based milk;47;0,28;9,17;0,97;118;0,2
11360200;Oat milk;1902;Plant-based milk;45;0,66;5,37;2,33;155;0,21
11370000;Coconut milk;1902;Plant-based milk;31;0,21;2,92;2,08;188;0,3
11400000;Yogurt, NFS;1820;Yogurt, regular;94;6,67;10,22;2,87;136;0,07
11400010;Yogurt, Greek, NS as to type of milk or flavor;1822;Yogurt, Greek;91;9,11;10,78;1,33;100;0,12
11410000;Yogurt, NS as to type of milk or flavor;1820;Yogurt, regular;93;4,57;15,69;1,34;160;0,14
11411010;Yogurt, NS as to type of milk, plain;1820;Yogurt, regular;63;5,25;7,04;1,55;183;0,08
11411100;Yogurt, whole milk, plain;1820;Yogurt, regular;78;3,82;5,57;4,48;127;0
11411200;Yogurt, low fat milk, plain;1820;Yogurt, regular;63;5,25;7,04;1,55;183;0,08
11411300;Yogurt, nonfat milk, plain;1820;Yogurt, regular;50;4,23;8,08;0,09;167;0
11411390;Yogurt, Greek, NS as to type of milk, plain;1822;Yogurt, Greek;67;10,2;3,6;1,36;110;0,07
11411400;Yogurt, Greek, whole milk, plain;1822;Yogurt, Greek;94;8,78;4,75;4,39;111;0
11411410;Yogurt, Greek, low fat milk, plain;1822;Yogurt, Greek;67;10,2;3,6;1,36;110;0,07
11411420;Yogurt, Greek, nonfat milk, plain;1822;Yogurt, Greek;59;10,3;3,64;0,37;111;0,07
11430000;Yogurt, NS as to type of milk, fruit;1820;Yogurt, regular;93;4,57;15,69;1,34;160;0,14
11431000;Yogurt, whole milk, fruit;1820;Yogurt, regular;106;3,34;14,43;3,86;112;0,07
11432000;Yogurt, low fat milk, fruit;1820;Yogurt, regular;93;4,57;15,69;1,34;160;0,14
11433000;Yogurt, nonfat milk, fruit;1820;Yogurt, regular;46;3,64;7,64;0,08;144;0
11433990;Yogurt, Greek, NS as to type of milk, fruit;1822;Yogurt, Greek;91;9,11;10,78;1,33;100;0,12
11434000;Yogurt, Greek, whole milk, fruit;1822;Yogurt, Greek;114;7,85;11,8;3,91;101;0,05
11434010;Yogurt, Greek, low fat milk, fruit;1822;Yogurt, Greek;91;9,11;10,78;1,33;100;0,12
11434020;Yogurt, Greek, nonfat milk, fruit;1822;Yogurt, Greek;83;9,21;10,81;0,34;101;0,12
11434090;Yogurt, NS as to type of milk, flavors other than fruit;1820;Yogurt, regular;82;4,51;13,02;1,36;158;0,07
11434100;Yogurt, whole milk, flavors other than fruit;1820;Yogurt, regular;95;3,28;11,76;3,88;109;0
11434200;Yogurt, low fat milk, flavors other than fruit;1820;Yogurt, regular;82;4,51;13,02;1,36;158;0,07
11434300;Yogurt, nonfat milk, flavors other than fruit;1820;Yogurt, regular;47;3,64;7,94;0,08;144;0
11435000;Yogurt, Greek, NS as to type of milk, flavors other than fruit;1822;Yogurt, Greek;81;9,07;8,18;1,34;98;0,06
11435010;Yogurt, Greek, whole milk, flavors other than fruit;1822;Yogurt, Greek;104;7,81;9,21;3,92;99;0
11435020;Yogurt, Greek, low fat milk, flavors other than fruit;1822;Yogurt, Greek;81;9,07;8,18;1,34;98;0,06
11435030;Yogurt, Greek, nonfat milk, flavors other than fruit;1822;Yogurt, Greek;73;9,17;8,22;0,34;99;0,06
11435100;Yogurt, Greek, with oats;1822;Yogurt, Greek;149;9,22;20,02;3,67;89;0,66
11436000;Yogurt, liquid;1820;Yogurt, regular;74;3,65;12,55;1,07;129;0,11
11436100;Yogurt tube;1820;Yogurt, regular;81;4,34;13,68;1,03;156;0,1
11440010;Chipotle dip, yogurt based;8412;Dips, gravies, other sauces;189;7,93;3,33;15,99;92;0,09
11440030;Onion dip, yogurt based;8412;Dips, gravies, other sauces;160;6,82;4,06;12,91;93;0,08
11440040;Ranch dip, yogurt based;8412;Dips, gravies, other sauces;195;8,48;4,13;16,09;114;0,29
11440050;Spinach dip, yogurt based;8412;Dips, gravies, other sauces;159;7,02;3,59;12,96;103;0,21
11440060;Tzatziki dip;8412;Dips, gravies, other sauces;91;5,22;4,1;6;70;0,03
11440070;Vegetable dip, yogurt based;8412;Dips, gravies, other sauces;191;8,16;3,76;16,03;103;0,29
11446000;Yogurt parfait, with fruit;1820;Yogurt, regular;104;5,25;16,08;2,18;86;0,43
11459990;Frozen yogurt, NFS;5802;Ice cream and frozen dairy desserts;127;3;21,6;3,6;100;0,46
11460000;Frozen yogurt, vanilla;5802;Ice cream and frozen dairy desserts;127;3;21,6;3,6;100;0,46
11460100;Frozen yogurt, chocolate;5802;Ice cream and frozen dairy desserts;131;3;21,6;3,6;100;0,46
11460500;Frozen yogurt, soft serve, vanilla;5802;Ice cream and frozen dairy desserts;159;4;24,2;5,6;143;0,3
11460510;Frozen yogurt, soft serve, chocolate;5802;Ice cream and frozen dairy desserts;160;4,31;24,87;5,76;143;0,57
11461200;Frozen yogurt sandwich;5802;Ice cream and frozen dairy desserts;204;3,9;34,38;6,25;83;1,35
11461210;Frozen yogurt bar, vanilla;5802;Ice cream and frozen dairy desserts;127;3;21,6;3,6;100;0,46
11461220;Frozen yogurt bar, chocolate;5802;Ice cream and frozen dairy desserts;131;3;21,6;3,6;100;0,46
11461250;Frozen yogurt cone, chocolate;5802;Ice cream and frozen dairy desserts;142;3,2;23,9;3,73;97;0,59
11461260;Frozen yogurt cone, vanilla;5802;Ice cream and frozen dairy desserts;139;3,2;23,9;3,73;97;0,59
11461300;Frozen yogurt cone, vanilla, waffle cone;5802;Ice cream and frozen dairy desserts;143;3,29;25,28;3,61;97;0,69
11461320;Frozen yogurt cone, chocolate, waffle cone;5802;Ice cream and frozen dairy desserts;147;3,29;25,28;3,61;97;0,69
11480000;Baby Toddler food, NFS;9007;Baby food: mixtures;75;4,9;9,08;2,15;23;0,62
11480010;Baby Toddler yogurt, plain;9010;Baby food: yogurt;78;3,82;5,57;4,48;127;0
11480100;Baby Toddler yogurt, with fruit;9010;Baby food: yogurt;98;3,48;11,9;4,04;116;0,05
11511000;Chocolate milk, NFS;1206;Flavored milk, lowfat;65;3,44;10,98;0,83;128;0,24
11511100;Chocolate milk, whole;1202;Flavored milk, whole;83;3,17;10,34;3,39;112;0,24
11511200;Chocolate milk, reduced fat (2%);1204;Flavored milk, reduced fat;76;2,99;12,13;1,9;109;0,24
11511300;Chocolate milk, fat free (skim);1208;Flavored milk, nonfat;67;3,39;13,46;0;127;0,27
11511400;Chocolate milk, low fat (1%);1206;Flavored milk, lowfat;64;3,46;10,15;1,11;129;0,23
11511550;Chocolate milk, reduced sugar, NFS;1206;Flavored milk, lowfat;65;3,09;8,56;1,99;111;0
11512005;Hot chocolate / cocoa, NFS;1206;Flavored milk, lowfat;72;1,82;13,9;1,04;61;0,08
11512010;Hot chocolate / cocoa, made with whole or reduced fat (2%) milk;1204;Flavored milk, reduced fat;91;2,73;16,53;1,54;102;0
11512020;Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk;1208;Flavored milk, nonfat;78;2,79;16,55;0,06;107;0
11512030;Hot chocolate / cocoa, made with non-dairy milk;1902;Plant-based milk;76;0,93;15,02;1,3;124;0,26
11512100;Hot chocolate / cocoa, with whipped cream;1204;Flavored milk, reduced fat;101;2,7;16,25;2,8;101;0
11513380;Chocolate milk, Nesquik, NS as to type of milk;1204;Flavored milk, reduced fat;74;3,41;10,09;2,15;146;0
11513385;Chocolate milk, Nesquik, made with non-dairy milk;1902;Plant-based milk;54;1,35;8,41;1,64;172;0,3
11513801;Chocolate milk, reduced sugar, whole;1202;Flavored milk, whole;73;3,04;8,38;2,92;109;0
11513802;Chocolate milk, reduced sugar, reduced fat (2%);1204;Flavored milk, reduced fat;63;3,11;8,62;1,78;112;0
11513803;Chocolate milk, reduced sugar, low fat (1%);1206;Flavored milk, lowfat;57;3,13;8,87;0,95;112;0
11513804;Chocolate milk, reduced sugar, fat free (skim);1208;Flavored milk, nonfat;49;3,18;8,64;0,19;117;0
11514100;Hot chocolate / cocoa, dry mix, made with water;1208;Flavored milk, nonfat;54;0,9;11,27;0,54;20;0,16
11514110;Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk;1204;Flavored milk, reduced fat;97;3,81;15,51;2,18;127;0,16
11514130;Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk;1208;Flavored milk, nonfat;83;3,87;15,53;0,61;132;0,16
11514150;Hot chocolate / cocoa, dry mix , made with non-dairy milk;1902;Plant-based milk;81;1,88;13,9;1,92;150;0,44
11514160;Hot chocolate / cocoa, dry mix, made with water, with whipped cream;1204;Flavored milk, reduced fat;65;0,94;11,2;1,83;22;0,15
11514310;Hot chocolate / cocoa, dry mix, reduced sugar, made with water;1208;Flavored milk, nonfat;31;1,26;5,87;0,24;50;0,4
11514320;Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk;1204;Flavored milk, reduced fat;77;4,35;10,37;1,99;163;0,4
11514325;Hot chocolate / cocoa, reduced sugar, made with non-dairy milk;1902;Plant-based milk;54;1,19;8,92;1,48;126;0,26
11514330;Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk;1204;Flavored milk, reduced fat;69;2,99;10,44;1,73;105;0
11514340;Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk;1208;Flavored milk, nonfat;62;4,41;10,39;0,32;168;0,4
11514350;Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk;1208;Flavored milk, nonfat;56;3,05;10,45;0,25;109;0
11514360;Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk;1902;Plant-based milk;59;2,31;8,66;1,72;188;0,7
11519040;Strawberry milk, NFS;1204;Flavored milk, reduced fat;65;3,2;8,54;2,06;121;0,02
11519050;Strawberry milk, whole;1202;Flavored milk, whole;86;3,03;11,79;2,97;114;0,03
11519105;Strawberry milk, reduced fat (2%);1204;Flavored milk, reduced fat;71;3,16;10,7;1,8;118;0,03
11519200;Strawberry milk, low fat (1%);1206;Flavored milk, lowfat;69;3,13;12,3;0,89;117;0,03
